Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
17 0 0.600328 0.481070 
17 1 0.425672 0.515349 
17 2 0.404522 0.532663 
17 3 0.410434 0.552414 
17 4 0.465839 0.567149 
17 5 0.369116 0.579393 
17 6 0.373588 0.585992 
17 7 0.313090 0.593583 
17 8 0.330406 0.598544 
17 9 0.250542 0.605709 
17 10 0.228709 0.569157 
17 11 0.226828 0.573947 
17 12 0.222867 0.580539 
17 13 0.217708 0.586774 
17 14 0.224477 0.590098 
17 15 0.227500 0.595145 
17 16 0.230713 0.590882 
17 17 0.170743 0.594974 
17 18 0.156110 0.596576 
17 19 0.141305 0.594578 
17 20 0.140864 0.596584 
17 21 0.140212 0.600253 
17 22 0.147912 0.603244 
17 23 0.156316 0.605141 
17 24 0.150486 0.596960 
17 25 0.123426 0.600350 
17 26 0.117811 0.603165 
17 27 0.133219 0.587227 
17 28 0.137564 0.589239 
17 29 0.116341 0.590749 
17 30 0.121934 0.577605 
17 31 0.116181 0.577292 
17 32 0.112519 0.580190 
17 33 0.110761 0.567743 
17 34 0.110457 0.566152 
17 35 0.092923 0.559038 
17 36 0.085064 0.553484 
17 37 0.084382 0.556740 
17 38 0.083065 0.559905 
17 39 0.083473 0.550139 
17 40 0.074627 0.552595 
17 41 0.084096 0.551750 
17 42 0.086154 0.541973 
17 43 0.084091 0.544142 
17 44 0.062714 0.546478 
17 45 0.057718 0.548207 
17 46 0.062369 0.550457 
17 47 0.063661 0.553155 
17 48 0.067194 0.555365 
17 49 0.072440 0.557679 
17 50 0.067912 0.560080 
17 51 0.067266 0.561688 
17 52 0.067390 0.563985 
17 53 0.068069 0.557356 
17 54 0.065140 0.559585 
17 55 0.062474 0.560725 
17 56 0.061053 0.555764 
17 57 0.060149 0.557167 
17 58 0.052809 0.559279 
17 59 0.052500 0.552468 
17 60 0.052340 0.554093 
17 61 0.048889 0.551782 
17 62 0.061710 0.553489 
17 63 0.062141 0.555165 
17 64 0.062883 0.556806 
17 65 0.058055 0.558763 
17 66 0.053234 0.560121 
17 67 0.053226 0.561639 
17 68 0.045967 0.563522 
17 69 0.044648 0.565259 
17 70 0.049586 0.566684 
17 71 0.057752 0.568335 
17 72 0.066853 0.569765 
17 73 0.064035 0.565233 
17 74 0.063359 0.566060 
17 75 0.067343 0.562796 
17 76 0.062520 0.564101 
17 77 0.072058 0.565558 
17 78 0.072202 0.567091 
17 79 0.070559 0.560795 
17 80 0.069454 0.562133 
17 81 0.069010 0.563309 
17 82 0.062948 0.559181 
17 83 0.069601 0.560372 
17 84 0.072225 0.555084 
17 85 0.072857 0.556597 
17 86 0.074687 0.552369 
17 87 0.073629 0.552086 
17 88 0.071751 0.549640 
17 89 0.076115 0.547348 
17 90 0.076938 0.548872 
17 91 0.076740 0.550376 
17 92 0.065566 0.551326 
17 93 0.063643 0.552732 
17 94 0.063187 0.553918 
17 95 0.064172 0.550725 
17 96 0.069392 0.552068 
17 97 0.069756 0.553454 
17 98 0.068123 0.552241 
17 99 0.068090 0.553595 
17 100 0.069345 0.550789 
17 101 0.068795 0.552002 
17 102 0.069389 0.553294 
17 103 0.071250 0.553299 
17 104 0.072368 0.553603 
17 105 0.071525 0.553406 
17 106 0.069375 0.554417 
17 107 0.069504 0.555392 
17 108 0.068472 0.556473 
17 109 0.063369 0.557703 
17 110 0.066622 0.558872 
17 111 0.066609 0.558027 
17 112 0.071345 0.559173 
17 113 0.070974 0.556314 
17 114 0.072931 0.554605 
17 115 0.075808 0.555731 
17 116 0.073875 0.556314 
17 117 0.074702 0.555800 
17 118 0.079079 0.554121 
17 119 0.079275 0.555242 
17 120 0.080458 0.553493 
17 121 0.083160 0.554566 
17 122 0.082575 0.555661 
17 123 0.082650 0.554454 
17 124 0.082790 0.555517 
17 125 0.083045 0.556572 
17 126 0.082817 0.557612 
17 127 0.083802 0.558547 
17 128 0.084618 0.559560 
17 129 0.085155 0.560516 
17 130 0.085476 0.557210 
17 131 0.085522 0.556614 
17 132 0.083746 0.557293 
17 133 0.080180 0.558056 
17 134 0.079773 0.558984 
17 135 0.078025 0.558042 
17 136 0.077892 0.555844 
17 137 0.080750 0.556703 
17 138 0.080346 0.557662 
17 139 0.079019 0.558506 
17 140 0.078457 0.559414 
17 141 0.077516 0.560352 
17 142 0.082070 0.561289 
17 143 0.082357 0.562181 
17 144 0.082242 0.560183 
17 145 0.082325 0.561066 
17 146 0.082174 0.561944 
17 147 0.079787 0.562706 
17 148 0.079779 0.561364 
17 149 0.077859 0.561035 
17 150 0.078129 0.561878 
17 151 0.078111 0.561590 
17 152 0.078605 0.562221 
17 153 0.077555 0.560618 
17 154 0.077716 0.559013 
17 155 0.078482 0.558514 
17 156 0.077853 0.559347 
17 157 0.078675 0.560149 
17 158 0.082325 0.560931 
17 159 0.081903 0.561742 
17 160 0.081998 0.562536 
17 161 0.082376 0.562207 
17 162 0.082189 0.562992 
17 163 0.082810 0.561580 
17 164 0.081941 0.562370 
17 165 0.081902 0.561222 
17 166 0.081136 0.561676 
17 167 0.082279 0.562435 
17 168 0.081502 0.563059 
17 169 0.080027 0.563820 
17 170 0.081646 0.560755 
17 171 0.081455 0.557840 
17 172 0.080254 0.558266 
17 173 0.079148 0.557867 
17 174 0.079523 0.557060 
17 175 0.079290 0.557819 
17 176 0.079407 0.558564 
17 177 0.080076 0.558791 
17 178 0.080563 0.559517 
17 179 0.080321 0.560245 
17 180 0.078920 0.557675 
17 181 0.076434 0.557637 
17 182 0.075595 0.557026 
17 183 0.075635 0.557750 
17 184 0.076518 0.558455 
17 185 0.076756 0.557098 
17 186 0.076701 0.557810 
17 187 0.074799 0.558233 
17 188 0.076852 0.558949 
17 189 0.076270 0.558164 
17 190 0.076596 0.558754 
17 191 0.076461 0.558991 
17 192 0.076334 0.558138 
17 193 0.076318 0.556600 
17 194 0.077056 0.557089 
17 195 0.077594 0.557757 
17 196 0.078441 0.558285 
17 197 0.078321 0.557865 
17 198 0.078009 0.558534 
17 199 0.079042 0.556476 
17 200 0.078631 0.556683 
17 201 0.077421 0.556970 
17 202 0.076317 0.556827 
17 203 0.077048 0.557476 
17 204 0.076682 0.557974 
17 205 0.077647 0.558604 
17 206 0.077881 0.557260 
17 207 0.077918 0.557899 
17 208 0.077929 0.556259 
17 209 0.077880 0.556073 
17 210 0.077991 0.556630 
17 211 0.077443 0.557184 
17 212 0.077115 0.557765 
17 213 0.077175 0.556423 
17 214 0.076889 0.557049 
17 215 0.076946 0.557671 
17 216 0.076395 0.558048 
17 217 0.077286 0.556472 
17 218 0.077287 0.555876 
17 219 0.078937 0.554115 
17 220 0.078148 0.553055 
17 221 0.078182 0.553672 
17 222 0.078179 0.553735 
17 223 0.078200 0.554289 
17 224 0.078087 0.553382 
17 225 0.079256 0.552898 
17 226 0.078264 0.550943 
17 227 0.077899 0.550347 
17 228 0.078194 0.548752 
17 229 0.079836 0.549035 
17 230 0.079318 0.549043 
17 231 0.079080 0.548285 
17 232 0.078850 0.548897 
17 233 0.079556 0.549043 
17 234 0.079435 0.548997 
17 235 0.080820 0.547033 
17 236 0.080743 0.546505 
17 237 0.080966 0.545103 
17 238 0.080830 0.545053 
17 239 0.081308 0.543430 
17 240 0.081378 0.544029 
17 241 0.081132 0.542768 
17 242 0.082303 0.543302 
17 243 0.082700 0.541621 
17 244 0.082701 0.540795 
17 245 0.080610 0.541342 
17 246 0.081742 0.539913 
17 247 0.081887 0.538475 
17 248 0.081148 0.537265 
17 249 0.081199 0.537793 
17 250 0.081009 0.538207 
158 0 0.788259 0.480437 
158 1 0.676846 0.512358 
158 2 0.312987 0.530305 
158 3 0.192090 0.550608 
158 4 0.138205 0.566606 
158 5 0.204493 0.575561 
158 6 0.222743 0.586242 
158 7 0.155079 0.593253 
158 8 0.204455 0.598458 
158 9 0.206572 0.605207 
158 10 0.198265 0.609555 
158 11 0.196751 0.606293 
158 12 0.203614 0.610096 
158 13 0.170841 0.611981 
158 14 0.160698 0.616101 
158 15 0.161102 0.608838 
158 16 0.172322 0.612842 
158 17 0.186296 0.614860 
158 18 0.184873 0.618261 
158 19 0.183763 0.604038 
158 20 0.184563 0.606109 
158 21 0.185301 0.599439 
158 22 0.185436 0.602905 
158 23 0.189858 0.604758 
158 24 0.198892 0.607261 
158 25 0.156711 0.603428 
158 26 0.139630 0.606341 
158 27 0.130601 0.609116 
158 28 0.127008 0.611562 
158 29 0.132490 0.613575 
158 30 0.107165 0.614310 
158 31 0.107309 0.616346 
158 32 0.105188 0.618420 
158 33 0.108482 0.604411 
158 34 0.100455 0.592265 
158 35 0.099200 0.594696 
158 36 0.099699 0.589527 
158 37 0.101020 0.591993 
158 38 0.082403 0.593121 
158 39 0.083438 0.594020 
158 40 0.083180 0.596151 
158 41 0.060663 0.586370 
158 42 0.054167 0.582837 
158 43 0.054559 0.585119 
158 44 0.069469 0.587314 
158 45 0.071721 0.589459 
158 46 0.072385 0.591248 
158 47 0.078604 0.579950 
158 48 0.082124 0.582082 
158 49 0.063053 0.578654 
158 50 0.081178 0.577342 
158 51 0.083047 0.579128 
158 52 0.094240 0.581116 
158 53 0.094205 0.583041 
158 54 0.083315 0.583895 
158 55 0.083722 0.575835 
158 56 0.085734 0.577735 
158 57 0.096563 0.579179 
158 58 0.099119 0.577648 
158 59 0.102773 0.579443 
158 60 0.103077 0.581190 
158 61 0.109263 0.577245 
158 62 0.095176 0.574679 
158 63 0.094785 0.566906 
158 64 0.079824 0.568748 
158 65 0.084614 0.570519 
158 66 0.086534 0.572188 
158 67 0.087826 0.565850 
